"","index","song","year","artist","genre","lyrics","sum_babiness","sum_conc"
"1",22760,"wonder",2006,"chris-rice","Pop","on the surface not a ripple codenewline undercurrent wages war codenewline quiet in the sanctuary codenewline sin is crouching at my door codenewline how can i be so prone to wander codenewline so prone to leave you codenewline so prone to die codenewline and how can you be so full of mercy codenewline you race to meet me and bring me back to life codenewline i wake to find my soul in fragments codenewline given to a thousand loves codenewline but only one will have no rival codenewline hangs to heal me spills his blood codenewline how can i be so prone to wander codenewline so prone to leave you codenewline so prone to die codenewline and how can you be so full of mercy codenewline you race to meet me and bring me back to life codenewline cursereversing day of jesus codenewline when you finally seize my soul codenewline freedom from myself will be the codenewline sweetest rest i've ever known codenewline how can i be so prone to wander codenewline so prone to leave you codenewline so prone to die codenewline and how can you be so full of mercy codenewline you race to meet me and bring my back to life codenewline ",276.632145819,428.6
"2",4837,"wasteland",2006,"covenant","Pop","the wind tried to tell us codenewline we failed to understand codenewline we lost our sense of direction codenewline drowned in the desert sand codenewline we left home without notice codenewline no landmark to be seen codenewline the ground died beneath us codenewline the landscape was unclean codenewline as we search for oblivion codenewline we forget to remember codenewline the faint memory of home codenewline far beyond the wasteland codenewline we drank the poisoned water codenewline th hear the serpent speak codenewline he told us of a garden codenewline with the treasure that we seek codenewline as we try to discover codenewline the secret deep inside codenewline there is nothing to be found codenewline only dust in the wasteland codenewline as we search for oblivion codenewline we forget to remember codenewline the faint memory of home codenewline far beyond the wasteland codenewline ",175.105203625,297.59
"3",219728,"sounds-good-feels-good",2015,"5-seconds-of-summer","Pop","take my money codenewline black jeans white tee black converse codenewline you know she gets it right codenewline blue hair blue eyes i saw her codenewline i couldn't help it i was like codenewline i wanna be be be in the game codenewline i wanna know know your middle name codenewline if we can go go it won't be the same codenewline cause right now you're killing the game codenewline everybody's gonna go big tonight codenewline in a couple hours we'll be like codenewline take my money take my keys codenewline drive this car through the drivethru please codenewline from the floor to the ceiling grabbing and stealing codenewline everybody in the place can't stop feeling like codenewline take my money codenewline late night passed out in tokyo codenewline new york la chicago codenewline she said her friends were at the show codenewline backstage wouldn't let them in codenewline they wanna be be be in the game codenewline they wanna know know what we gotta say codenewline front row we're going insane codenewline and in the back row you're killing the game codenewline everybody's gonna go big tonight codenewline in a couple hours we'll be like codenewline take my money take my keys codenewline drive this car through the drivethru please codenewline from the floor to the ceiling grabbing and stealing codenewline everybody in the place can't stop feeling like codenewline take my money take my keys codenewline drive this car through the drivethru please codenewline from the floor to the ceiling grabbing and stealing codenewline everybody in the place you can all codenewline take my money take my keys codenewline drive this car through the drivethru please codenewline from the floor to the ceiling grabbing and stealing codenewline everybody in the place can't stop feeling like codenewline take my money take my money codenewline ",553.582359065,627.56
"4",159198,"i-m-not-a-girl-not-yet-a-woman",2004,"britney-spears","Pop","i used to think codenewline i had the answers to everything codenewline but now i know codenewline that life doesn't always codenewline go my way yeah codenewline feels like i'm caught in the middle codenewline that's when i realize codenewline i'm not a girl codenewline not yet a woman codenewline all i need is time codenewline a moment that is mine codenewline while i'm in between codenewline i'm not a girl codenewline there is no need to protect me codenewline it's time that i codenewline learn to face up to this on my own codenewline i've seen so much more than you know now codenewline so don't tell me to shut my eyes codenewline i'm not a girl codenewline not yet a woman codenewline all i need is time codenewline a moment that is mine codenewline while i'm in between codenewline i'm not a girl codenewline but if you look at me closely codenewline you will see it in my eyes codenewline this girl will always find codenewline her way codenewline i'm not a girl codenewline i'm not a girl don't tell me what to believe codenewline not yet a woman codenewline i'm just tryin' to find the woman in me yeah codenewline all i need is time all i need is time codenewline a moment that is mine that's mine codenewline while i'm in between codenewline i'm not a girl codenewline not yet a woman codenewline all i need is time is all i need codenewline a moment that is mine codenewline while i'm in between codenewline i'm not a girl codenewline oh codenewline not yet a woman codenewline ",400.292478365,465.33
"5",342296,"three-hearts",2014,"alex-clare","Pop","was grey autumn day i was under paid codenewline making minimum wage codenewline now i got some money honey codenewline you're a lucky charm that came my way codenewline gonna work gonna save codenewline gonna sell it all up for you and me codenewline need to build a home codenewline gotta make a house for just we three codenewline one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline when i saw your face with such grace codenewline hope my kids will look the same codenewline i never had no one codenewline now i got you and another one the way codenewline yes a traveling heart codenewline chasing cars girl we have gone so far codenewline soon we'll have a home codenewline with a fridge and a porch and a great big old backyard codenewline one heart one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline one heart soon became two codenewline now there's three hearts beating codenewline under my roof codenewline one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline one heart codenewline soon became two codenewline now there's three hearts beating codenewline under my roof codenewline under my roof hoo hoo hoo hoo codenewline under my roof hoo hoo hoo hoo codenewline under my roof hoo hoo hoo hoo codenewline ",286.67620297,565.59
"6",315108,"i-don-t-care-juciest",2007,"alicia-keys","Pop","she grew up in brooklyn codenewline she grew up in harlem codenewline she grew up in bronx codenewline she know she was a queen codenewline she lived in queens codenewline oh yeah oh yeah codenewline but she don't really care codenewline she don't really care codenewline she want them diamonds in her ear codenewline diamonds in the air codenewline oh yeah oh yeah codenewline she lived in somalia codenewline her parents from egypt codenewline she was a queen in cairo codenewline oh yeah oh yeah codenewline but she don't really care codenewline she don't really care codenewline she want them diamonds in her ear codenewline diamonds in the air codenewline oh yeah oh yeah codenewline she picking all the wrong ones codenewline and she's looking for the right one in the wrong place codenewline you remember her face the prettiest face prettiest face codenewline oh yeah oh yeah codenewline she looking for fulfillment codenewline you would think she was looking for love searching for love codenewline she just looking to be taken care of codenewline oh yeah oh yeah codenewline you can find her in harlem or brooklyn codenewline you can find her her brixton or kingston codenewline she's a queen know what i mean codenewline oh yeah oh yeah codenewline she think she want a baby and she do it with the wrong one codenewline cause she's looking for something but he don't really care codenewline he don't really care codenewline and life just isn't fair codenewline she grew up in brooklyn uhhuh codenewline she grew up in harlem harlem codenewline she grew up in bronx codenewline she know she was a queen a queen codenewline she lived in queens uhhuh codenewline oh yeah oh yeah codenewline she don't really care codenewline she don't really care codenewline she throw them diamonds in her air codenewline diamonds in the air yeah codenewline oh yeah oh yeah codenewline she lived in somalia talk about it codenewline her parents from egypt egypt codenewline she was a queen in cairo codenewline she's a queen yeah codenewline oh yeah oh yeah codenewline but she don't really care codenewline she don't really care codenewline she want them diamonds in her ear codenewline diamonds in the air codenewline oh yeah oh yeah codenewline brooklyn yeah codenewline you think she loves you but she don't codenewline oh yeah oh yeah codenewline you got to wake up open your eyes codenewline see the way it really is codenewline oh yeah oh yeah codenewline brooklyn new york codenewline the bronx harlem baby codenewline new york brooklyn baby codenewline you think she loves you codenewline she'll take you for everything you've got codenewline you gotta remember that the big apple codenewline new york city codenewline brooklyn harlem the bronx brooklyn baby codenewline you gotta wake up brother codenewline wake up wake up wake up codenewline open up your eyes codenewline and realize the truth codenewline watch your step brother codenewline watch your step brother codenewline move it to the left move it to the right codenewline now that's exciting codenewline better go home new york city codenewline it's the truth it's the dead truth codenewline live truth codenewline it's the live truth yeah codenewline it's where the life yeah codenewline all along i've ignored what i've always known codenewline that the chair i've been sitting on is a throne codenewline affection kneels at the seat of my soul codenewline tell the truth it can't get no better codenewline swear to life it can't get no better oh no codenewline by the way i've been meaning to thank ya codenewline by the way i've been meaning to thank ya all along codenewline one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline all along i was hoping understanding would be born codenewline i was looking for knowledge to sing my song codenewline but now i know that i am wisdom on my own codenewline tell the truth it can't get no better codenewline swear to life it can't get no better oh no codenewline by the way i've been meaning to thank ya codenewline by the way i've been meaning to thank ya all along codenewline one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline one love one love one love one love codenewline ",1247.890956746,1459.5
"7",138039,"strong-enough",2006,"boyzone","Pop","tears run dry on a young man's face codenewline feel the glow of warm embrace codenewline been on a boat to the edge of somewhere codenewline searched for you almost everywhere codenewline one more hill but you know i'll be there codenewline no more pain left for me to bear codenewline cause now i'm almost there codenewline baby it's growing much stronger codenewline from the day that you said codenewline you were gonna be mine codenewline from the way i was lead into your mind codenewline maybe love was making me stronger codenewline from the day that you said you were gonna be mine codenewline from the way i was lead into your mind codenewline everything comes to those who wait codenewline like a winter for spring codenewline and the beauty it brings codenewline and everyone searches for the perfect one codenewline as heaven knows codenewline as heaven knows codenewline if you believe like you know that i do codenewline you will see i'm the one for you codenewline never forget when i take your hand codenewline at last i'm here can't you understand codenewline so bring on the night and i'll make it right codenewline take a dull day and i'll make it bright codenewline cause now we're almost there codenewline but baby it's growing much stronger codenewline from the day that you said codenewline you were gonna be mine codenewline from the way i was lead into your mind codenewline maybe love's making me stronger codenewline from the day that you said you were gonna be mine codenewline from the way i was lead into your mind codenewline everything comes to those who wait codenewline like a winter for spring codenewline and the beauty it brings codenewline and everyone searches for the perfect one codenewline as heaven knows codenewline as heaven knows codenewline everything comes to those who wait codenewline like a winter for spring codenewline and the beauty it brings codenewline and everyone searches for the perfect one codenewline as heaven knows codenewline as heaven knows codenewline as heaven knows codenewline as heaven knows codenewline as heaven knows codenewline ",449.374349666,640.21
"8",266793,"i-believe-yo-creo",2014,"aventura","Pop","we're backaventura codenewline too strong codenewline i believe you will end up alone oohhhh codenewline y vas a extraar mi lindo amor codenewline i believe my love will always be in your heart codenewline pero ser muy tarde corazn codenewline coro codenewline i beleive you'll whisper on codenewline you'll cry in bed codenewline so i'll come home codenewline you'll notice you were wrong codenewline but i'll be gone i'll be gone codenewline apuesto que vas a llorar codenewline mejor decirte que olvidar codenewline como tu cuerpo me correspondio codenewline se que brindaras otra version codenewline pero hasta un ciego ve que te fui fiel codenewline i know very well that you say that i did wrong codenewline quizs te crean quizs juzgue mi amor codenewline pues ya no aguanto no me voy a mortificar codenewline right from this moment le pondr a esto final codenewline recoge todo no me hable pack your bags codenewline you gotta go baby girl you gotta go codenewline coro codenewline i beleive you'll whisper on codenewline you'll cry in bed codenewline so i'll come home codenewline you'll notice you were wrong codenewline but i'll be gone i'll be gone codenewline apuesto que vas a llorar codenewline apuesto que vas a llorar codenewline mejor decirte que olvidar codenewline como tu cuerpo me correspondio codenewline if we're not the best then who is codenewline yo mikey you killing them out there codenewline ethan jimbo loves you codenewline pues ya no aguanto no me voy a mortificar codenewline right from this moment le pondr a esto final codenewline recoge todo no me hable pack your bags codenewline you gotta go babygirl you gotta go nooooo codenewline coro 2veses codenewline i beleive you'll whisper on codenewline you'll cry in bed codenewline so i'll come home codenewline you'll notice you were wrong codenewline but i'll be gone i'll be gone codenewline apuesto que vas a llorar codenewline apuesto que vas a llorar codenewline mejor decirte que olvidar codenewline como tu cuerpo me correspondio codenewline yo toby lets let em know whats up codenewline lets let em know what we believe that's right codenewline i believe you will end up alone i believe you will end up alone aventura codenewline i believe you will end up alone i believe you will end up alone codenewline i believe that my love will be gone codenewline i believe yo no estar aqu mi amor i believe creo sola quedara codenewline i believe and oh baby with out my love you'll feel gone codenewline i believe believe codenewline sin mis besos codenewline sin mis labios codenewline sin mis carisias codenewline sin mis abrazos mi regalo codenewline cuando nia cuando amante cuando amada codenewline i believeee that my love will be gone codenewline i believe believe i believeee codenewline i believe i believe i believe codenewline apuesto que vas a llorar codenewline oh oh oh ohhhh codenewline ",431.43665452,551.27
"9",65621,"i-woke-up-this-morning",2007,"farmer-s-boys","Pop","i got up early i'm feeling great and on a saturday codenewline you're busy washing i've had a shave codenewline i'm not obliged to stay codenewline we met just hours ago don't say i told you so codenewline even my friends don't know codenewline i caught you smiling don't laugh at those codenewline that's me on holiday codenewline and if i ask you 'are you ok' you're not obliged to say codenewline we only met last night i fell in love on sight codenewline i hope we're doing right codenewline close my eyes count to five pinch myself i'm still alive codenewline look around i see you it's not a dream it must be true codenewline sometimes it's called fooling around but in this case codenewline that's not allowed codenewline i got up early still feeling great and on a saturday codenewline and when you ask me 'am i ok' well what else can i say codenewline we met just hours ago i really love you so codenewline even my friends don't know codenewline ",184.341388025,322.21
"10",187985,"track-21",2006,"ben-lee","Pop","rj johnson/b lee codenewline 930 9am wednesday codenewline call don wilson wlison codenewline secretary treasurer for austuben county antique engine codenewline and tractor association we need to know some codenewline information about caps ah baseball caps the number codenewline is thank you codenewline ha ha ha 17 am wilson wilson codenewline ",23.301110654,73.88
