"","artist","num_words","num_unique_words","per_unique"
"1","009-sound-system",517,241,0.46615087040619
"2","047",196,49,0.25
"3","0510",580,335,0.577586206896552
"4","0510-ent",580,335,0.577586206896552
"5","1-800-zombie",336,147,0.4375
"6","1-girl-nation",3552,551,0.155123873873874
"7","1-hundredd",506,219,0.432806324110672
"8","10-cc",35901,3259,0.0907774156708727
"9","100-demons",230,107,0.465217391304348
"10","100-monkeys",6491,1172,0.180557695270374
"11","100-percent",91,62,0.681318681318681
"12","104",358,205,0.572625698324022
"13","10digits",203,59,0.29064039408867
"14","10ille",668,190,0.284431137724551
"15","11-11",299,89,0.297658862876254
"16","1140-mississippi",1223,443,0.362224039247751
"17","11th-hour",464,216,0.46551724137931
"18","12-rounds",936,263,0.280982905982906
"19","12-stones",11061,1006,0.0909501853358648
"20","12am",6,6,1
"21","13-engines",1733,574,0.331217541834968
"22","13-winters",224,77,0.34375
"23","14-bis",4681,954,0.203802606280709
"24","15-minutes-of-fame",318,150,0.471698113207547
"25","16-bit",409,197,0.481662591687042
"26","16-frames",613,192,0.313213703099511
"27","16-horsepower",6532,1265,0.193661971830986
"28","16-stitch",234,77,0.329059829059829
"29","16volt",842,270,0.320665083135392
"30","18-la-serie",262,88,0.33587786259542
"31","187-mobstaz",2572,1122,0.436236391912908
"32","1910-fruitgum-company",951,208,0.218717139852787
"33","1924",96,70,0.729166666666667
"34","1974-ad",335,95,0.283582089552239
"35","1982",2056,678,0.329766536964981
"36","1982-termanology-and-statik-selektah",480,182,0.379166666666667
"37","1984",991,312,0.314833501513623
"38","1985-chicago-bears",727,285,0.392022008253095
"39","1997",2996,580,0.193591455273698
"40","199x",871,364,0.417910447761194
"41","1love",149,83,0.557046979865772
"42","1sb",342,178,0.52046783625731
"43","1st-lady",1109,287,0.258791704238052
"44","2-4-family",3882,769,0.198093766099948
"45","2-54",452,165,0.365044247787611
"46","2-be-3",818,255,0.311735941320293
"47","2-bears",1199,266,0.22185154295246
"48","2-brothers-on-the-4th-floor",4193,689,0.16432148819461
"49","2-chainz",62360,5274,0.0845734445157152
"50","2-chainz-wiz-khalifa",523,215,0.411089866156788
"51","2-demz",1763,494,0.280204197390811
"52","2-fabiola",1492,225,0.150804289544236
"53","2-for-good",200,88,0.44
"54","2-live-crew",33701,3525,0.104596302780333
"55","2-live-jews",317,167,0.526813880126183
"56","2-night-starz",542,192,0.354243542435424
"57","2-pistols",8548,1364,0.159569489939167
"58","2-shy",139,69,0.496402877697842
"59","2-unlimited",15064,1368,0.0908125331917154
"60","2-us",105,55,0.523809523809524
"61","20-fingers",1161,330,0.284237726098191
"62","200-west",710,241,0.33943661971831
"63","2013-sbs-edegiei-friendship-project",1035,228,0.220289855072464
"64","21-00-pm",234,53,0.226495726495726
"65","21-guns",862,256,0.296983758700696
"66","21-savage",8945,1152,0.128787031861375
"67","211",259,121,0.467181467181467
"68","213",9664,1612,0.166804635761589
"69","22-20s",1647,336,0.204007285974499
"70","22-pistepirkko",661,161,0.24357034795764
"71","22-savage",77,55,0.714285714285714
"72","24-horas",257,83,0.32295719844358
"73","24-hours-ago",1564,522,0.333759590792839
"74","24hrs",3129,591,0.188878235858102
"75","257ers",2480,590,0.237903225806452
"76","28-days",7671,1251,0.163081736409855
"77","28-north",194,96,0.494845360824742
"78","2am",555,273,0.491891891891892
"79","2am-club",7537,1189,0.157755074963513
"80","2bic",319,144,0.45141065830721
"81","2cellos",522,146,0.279693486590038
"82","2cellos-sulic-hauser",625,227,0.3632
"83","2contra1",1384,373,0.269508670520231
"84","2face-idibia",1549,416,0.268560361523564
"85","2geez",300,170,0.566666666666667
"86","2gether",8437,1025,0.121488680810715
"87","2j",640,375,0.5859375
"88","2l8",171,86,0.502923976608187
"89","2merica",2048,778,0.3798828125
"90","2nd-ii-none",909,334,0.367436743674367
"91","2ne1",11383,1868,0.164104366160063
"92","2nei",401,107,0.266832917705736
"93","2nyce",28,10,0.357142857142857
"94","2pac",243684,9219,0.0378317821440882
"95","2pac-outlawz",5466,1317,0.240944017563117
"96","2pm",7955,2080,0.26147077309868
"97","2raumwohnung",2190,596,0.272146118721461
"98","2sc",195,68,0.348717948717949
"99","2shaddy",2611,663,0.253925698965913
"100","2thousand2",392,106,0.270408163265306
"101","2twine",32,17,0.53125
"102","2ways",392,144,0.36734693877551
"103","2win",16,8,0.5
"104","2wink",223,122,0.547085201793722
"105","2wo-plus",335,172,0.513432835820895
"106","3-6-mallay",63,51,0.80952380952381
"107","3-colours-red",4105,855,0.208282582216809
"108","3-elements",258,80,0.310077519379845
